Time,PosX,PosY,PosZ,VelX,VelY,VelZ
3.15,4.82217592336813,0.965787421638866,4.03130665394657,1.11451656880707,5.76328516728796,7.44564779409385
3.2,4.87790175180849,1.25395168000326,4.40358904365126,1.10782946939423,5.72870545628423,6.91341690732929
3.25,4.9332932252782,1.54038695281748,4.74925988901772,1.10118249257787,5.69433322354652,6.38437940588531
3.3,4.98835234990709,1.8251036139948,5.06847885931199,1.0945753976224,5.66016722420524,5.85851612945
3.35,5.04308111978821,2.10811197520506,5.36140466578449,1.08800794523667,5.62620622086001,5.3358080326733
3.4,5.09748151705005,2.38942228624806,5.62819506741816,1.08147989756525,5.59244898353485,4.81623618447726
3.45,5.15155551192831,2.66904473542481,5.86900687664202,1.07499101817985,5.55889428963364,4.2997817673704
3.5,5.2053050628373,2.94698944990649,6.08399596501054,1.06854107207077,5.52554092389584,3.78642607676618
3.55,5.25873211644084,3.22326649610128,6.27331726884885,1.06212982563835,5.49238767835247,3.27615052030558
3.6,5.31183860772276,3.4978858800189,6.43712479486413,1.05575704668452,5.45943335228235,2.76893661718374
3.65,5.36462646005698,3.77085754763302,6.57557162572331,1.04942250440441,5.42667675216866,2.26476599748064
3.7,5.4170975852772,4.04219138524146,6.68880992559734,1.04312596937799,5.39411669165565,1.76362040149576
3.75,5.4692538837461,4.31189721982424,6.77699094567213,1.03686721356172,5.36175199150571,1.26548167908678
3.8,5.52109724442419,4.57998481939952,6.84026502962647,1.03064601028035,5.32958147955668,0.770331789012263
3.85,5.57262954493821,4.84646389337736,6.87878161907708,1.02446213421867,5.29760399067934,0.27815279827819
3.9,5.62385265164914,5.11134409291132,6.89268925899099,1.01831536141335,5.26581836673526,-0.21107311851148
3.95,5.67476841971981,5.37463501124809,6.88213560306542,1.01220546924487,5.23422345653485,-0.697363679800411
4,5.72537869318205,5.63634618407483,6.8472674190754,1.0061322364294,5.20281811579564,-1.18073649772161
4.05,5.77568530500352,5.89648708986461,6.78823059418932,1.00009544301083,5.17160120710087,-1.66120907873528
4.1,5.82569007715406,6.15506715021966,6.70517014025255,0.994094870352763,5.14057159985826,-2.13879882426287
4.15,5.8753948206717,6.41209573021257,6.59823019903941,0.988130301130646,5.10972817025911,-2.61352303131729
